Name,URI,Popularity,Genres,Followers
Lil Durk,spotify:artist:3hcs9uc56yIGFCSy9leWe7,81.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",6864382.0
Yeat,spotify:artist:3qiHUAX7zY4Qnjx8TNUzVx,82.0,"['pluggnb', 'rage rap']",3936378.0
Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865,85.0,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",14233001.0
Rod Wave,spotify:artist:45TgXXqMDdF8BkjA83OM7z,79.0,['florida rap'],6337554.0
Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,88.0,"['hip pop', 'pop', 'queens hip hop', 'rap']",30502796.0
Brent Faiyaz,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,83.0,"['r&b', 'rap']",5264200.0
Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,85.0,"['pop', 'r&b']",36526975.0
Noah Kahan,spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,85.0,['pov: indie'],1911614.0
Polo G,spotify:artist:6AgTAQt8XS6jRWi4sX7w49,80.0,"['chicago rap', 'rap']",10662503.0
Trippie Redd,spotify:artist:6Xgp2XMz1fhVYe7i6yNAax,80.0,"['melodic rap', 'rap', 'trap']",9251249.0
Kodak Black,spotify:artist:46SHBwWsqBkxI7EeeBEQG7,80.0,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",10075249.0
Jung Kook,spotify:artist:6HaGTQPmzraVmaVxvz6EUc,88.0,['k-pop'],12323350.0
Rema,spotify:artist:46pWGuE3dSwY3bMMXGBvVS,78.0,"['afrobeats', 'nigerian pop']",3836150.0
Yng Lvcas,spotify:artist:1NNRWkhwmcXRimFYSBpB1y,71.0,"['reggaeton', 'urbano mexicano']",303722.0
Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI,83.0,"['pop', 'uk pop']",23442604.0
Manuel Turizo,spotify:artist:0tmwSHipWxN12fsoLcFU3B,81.0,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",13367445.0
PinkPantheress,spotify:artist:78rUTD7y6Cy67W1RVzYs7t,76.0,['bedroom pop'],2847702.0
David Kushner,spotify:artist:33NVpKoXjItPwUJTMZIOiY,76.0,"['gen z singer-songwriter', 'singer-songwriter pop']",1815026.0
Wisin & Yandel,spotify:artist:1wZtkThiXbVNtj6hee6dz9,77.0,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",6946597.0
FIFTY FIFTY,spotify:artist:4GJ6xDCF5jaUqD6avOuQT6,70.0,['k-pop girl group'],1448129.0
d4vd,spotify:artist:5y8tKLUfMvliMe8IKamR32,77.0,"['bedroom pop', 'bedroom r&b']",2172863.0
JVKE,spotify:artist:164Uj4eKjl6zTBKfJLFKKK,77.0,"['modern indie pop', 'pov: indie', 'singer-songwriter pop']",3767033.0
Jimin,spotify:artist:1oSPZhvZMIrWW5I41kPkkY,82.0,['k-pop'],7269099.0
RAYE,spotify:artist:5KKpBU5eC2tJDzf0wmlRp2,79.0,"['uk contemporary r&b', 'uk pop']",1143773.0
Kate Bush,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL,67.0,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",1784911.0
Joji,spotify:artist:3MZsBdqDrRTJihTHQrO6Dq,78.0,['viral pop'],9234345.0
Charity Gayle,spotify:artist:57YsESW6BGZLHQgOg8AiAq,59.0,"['apostolic worship', 'ccm', 'world worship', 'worship']",132928.0
Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ,84.0,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",3381750.0
Lizzo,spotify:artist:56oDRnqbIiwx4mymNEv7dS,71.0,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",5695122.0
Anitta,spotify:artist:7FNnA9vBm6EKceENgCGRMb,80.0,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']",12745882.0
Lil Nas X,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,75.0,['lgbtq+ hip hop'],12451124.0
ROSALÍA,spotify:artist:7ltDVBr6mKbRvohxheJ9h1,78.0,"['pop', 'r&b en espanol']",8068204.0
Dove Cameron,spotify:artist:2W8yFh0Ga6Yf3jiayVxwkE,70.0,['pop'],4641855.0
Charlie Puth,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,79.0,"['pop', 'viral pop']",22005107.0
Camila Cabello,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,79.0,"['dance pop', 'pop']",32260119.0
Elley Duhé,spotify:artist:67MNhiAICFY6Pwc2YxCO0K,74.0,['alt z'],493216.0
Labrinth,spotify:artist:2feDdbD5araYcm6JhFHHw7,77.0,"['indie poptimism', 'pop']",3129027.0
Lost Frequencies,spotify:artist:7f5Zgnp2spUuuzKplmRkt7,76.0,"['belgian edm', 'edm', 'pop dance', 'tropical house']",2767992.0
Carolina Gaitán - La Gaita,spotify:artist:29PgYEggDV3cDP9QYTogwv,56.0,['movie tunes'],56338.0
Cris Mj,spotify:artist:1Yj5Xey7kTwvZla8sqdsdE,77.0,"['mambo chileno', 'urbano chileno']",1731995.0
