Name,URI,Popularity,Genres,Followers
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,87,"['barbadian pop', 'pop', 'urban contemporary']",59779490
Junior H,spotify:artist:7Gi6gjaWy3DxyilpF1a8Is,86,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",15787015
Morgan Wallen,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,86,['contemporary country'],9312463
Rauw Alejandro,spotify:artist:1mcTU81TzQhprhouKaTkpq,86,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",21572892
Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp,83,"['colombian pop', 'dance pop', 'latin pop', 'pop']",32829237
Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,90,['pop'],96203070
Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,86,"['art pop', 'pop']",93772195
Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,87,"['dfw rap', 'melodic rap', 'pop', 'rap']",43821391
Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s,86,"['canadian pop', 'pop']",74831805
Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,90,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",16941914
Pritam,spotify:artist:1wRPtKGflJrBx9BmLsSwlU,84,"['filmi', 'indian instrumental', 'modern bollywood']",31146125
Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6,81,['pop'],23819999
Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,82,['pop'],31970265
David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,85,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",25438250
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,90,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",28656288
Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,84,"['dance pop', 'pop']",29743303
Anuel AA,spotify:artist:2R21vXR83lH98kGeO99Y66,84,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",35372372
Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,85,"['dance pop', 'pop']",55161295
Quevedo,spotify:artist:52iwsT98xCoGgiGntTiR7K,79,"['rap canario', 'trap latino', 'urbano latino']",4416394
Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,86,"['dance pop', 'pop', 'uk pop']",43291435
Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG,86,['pop'],35719952
Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,83,"['chicago rap', 'melodic rap', 'rap']",33522349
Natanael Cano,spotify:artist:0elWFr7TW8piilVRYJUe4P,86,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",12483610
Myke Towers,spotify:artist:7iK8PXO48WeuP03g8YR51W,85,"['reggaeton', 'trap latino', 'urbano latino']",14690638
Bizarrap,spotify:artist:716NhGYqD1jl2wI1Qkgq36,82,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",15128789
Luis Fonsi,spotify:artist:4V8Sr092TqfHkfAA5fXXqG,71,"['latin pop', 'puerto rican pop']",10473415
Ozuna,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY,83,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",36508683
Lil Baby,spotify:artist:5f7VJjfbwm532GiveGC0ZK,82,"['atl hip hop', 'atl trap', 'rap', 'trap']",17342631
Tom Odell,spotify:artist:2txHhyCwHjUEpJjWrEyqyX,73,['chill pop'],3801248
Stephen Sanchez,spotify:artist:5XKFrudbV4IiuE5WuTPRmT,73,['gen z singer-songwriter'],1385045
"Tyler, The Creator",spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,82,"['hip hop', 'rap']",14893816
Miguel,spotify:artist:360IAlyVv4PCEVjgyMZrxK,76,"['r&b', 'urban contemporary']",5026083
The Kid LAROI,spotify:artist:2tIP7SsRs7vjIcLrU85W8J,75,['australian hip hop'],5268995
Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,72,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",4096522
Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,84,"['r&b', 'rap']",21617555
Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,77,"['pop', 'uk pop']",12454027
Ruth B.,spotify:artist:2WzaAvm2bBCf4pEhyuDgCY,70,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",3445183
J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,84,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",23445923
Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b,80,"['glam rock', 'mellow gold', 'piano rock', 'rock']",13183828
Rosa Linn,spotify:artist:46xBNx0j6cwY6sD9LgMTm1,66,['alt z'],366701
Vance Joy,spotify:artist:10exVja0key0uqUkk6LJRT,72,"['folk-pop', 'modern rock']",3057628
Adele,spotify:artist:4dpARuHxo51G3z768sgnrY,81,"['british soul', 'pop', 'pop soul', 'uk pop']",55192538
Tears For Fears,spotify:artist:4bthk9UfsYUYdcFyqxmSUU,71,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']",3396549
Lord Huron,spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25,73,"['indie folk', 'stomp and holler']",1560802
Macklemore & Ryan Lewis,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,69,"['pop rap', 'seattle hip hop']",2529257
Tory Lanez,spotify:artist:2jku7tDXc6XoB6MO2hFuqg,77,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",6642452
Hotel Ugly,spotify:artist:35WVTyRnKAoaGExqgktVyb,72,['modern indie pop'],640735
Keane,spotify:artist:53A0W3U0s8diEn9RhXQhVz,71,"['neo mellow', 'piano rock', 'pop rock']",3332077
Zach Bryan,spotify:artist:40ZNYROS4zLfyyBSs2PGe2,85,['classic oklahoma country'],3848453
INTERWORLD,spotify:artist:5hKGLu4Ik88FzWcTPhWNTN,66,['phonk brasileiro'],746647
Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,81,"['australian dance', 'australian pop', 'pop']",27784787
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,82,"['lgbtq+ hip hop', 'neo soul']",13742327
The Police,spotify:artist:5NGO30tJxFlKixkPSgXcFE,73,"['album rock', 'classic rock', 'permanent wave', 'rock']",6027274
Lizzy McAlpine,spotify:artist:1GmsPCcpKgF9OhlNXjOsbS,70,"['alt z', 'boston folk', 'indie pop', 'singer-songwriter pop']",911299
